ASSERTION	AAEEAgAAAAAAAMBiQA==
ASSERTION	AAECAAMCAAAAAAAAwFdA
ASSERTION	AAECAAIBAAAAAAAAABRA
RUN	parabank.TransferTest	transfertest	1760280492913	 	3.3.1
USER	Transferencias simultaneas válidas	104	END	1760280495265	1760280495584
REQUEST	106		Transferencia	1760280495281	1760280495584	OK	 
USER	Transferencias simultaneas válidas	106	END	1760280495281	1760280495585
REQUEST	98		Transferencia	1760280495223	1760280495592	OK	 
USER	Transferencias simultaneas válidas	98	END	1760280495222	1760280495592
REQUEST	115		Transferencia	1760280495360	1760280495594	OK	 
USER	Transferencias simultaneas válidas	115	END	1760280495359	1760280495594
REQUEST	113		Transferencia	1760280495333	1760280495595	OK	 
USER	Transferencias simultaneas válidas	113	END	1760280495332	1760280495595
USER	Transferencias simultaneas válidas	153	START	1760280495596	1760280495596
REQUEST	116		Transferencia	1760280495360	1760280495598	OK	 
USER	Transferencias simultaneas válidas	116	END	1760280495359	1760280495598
REQUEST	119		Transferencia	1760280495376	1760280495605	OK	 
USER	Transferencias simultaneas válidas	119	END	1760280495375	1760280495605
REQUEST	118		Transferencia	1760280495363	1760280495609	OK	 
USER	Transferencias simultaneas válidas	118	END	1760280495362	1760280495610
REQUEST	117		Transferencia	1760280495363	1760280495611	OK	 
USER	Transferencias simultaneas válidas	117	END	1760280495362	1760280495611
USER	Transferencias simultaneas válidas	154	START	1760280495612	1760280495612
USER	Transferencias simultaneas válidas	156	START	1760280495612	1760280495612
USER	Transferencias simultaneas válidas	155	START	1760280495612	1760280495612
REQUEST	114		Transferencia	1760280495344	1760280495616	OK	 
USER	Transferencias simultaneas válidas	114	END	1760280495344	1760280495617
REQUEST	121		Transferencia	1760280495376	1760280495618	OK	 
USER	Transferencias simultaneas válidas	121	END	1760280495375	1760280495619
REQUEST	120		Transferencia	1760280495376	1760280495625	OK	 
USER	Transferencias simultaneas válidas	120	END	1760280495375	1760280495626
USER	Transferencias simultaneas válidas	157	START	1760280495627	1760280495627
REQUEST	126		Transferencia	1760280495439	1760280495640	OK	 
USER	Transferencias simultaneas válidas	126	END	1760280495438	1760280495640
USER	Transferencias simultaneas válidas	158	START	1760280495642	1760280495642
USER	Transferencias simultaneas válidas	159	START	1760280495642	1760280495642
REQUEST	130		Transferencia	1760280495443	1760280495644	OK	 
USER	Transferencias simultaneas válidas	130	END	1760280495442	1760280495645
REQUEST	123		Transferencia	1760280495423	1760280495648	OK	 
USER	Transferencias simultaneas válidas	123	END	1760280495422	1760280495648
